,0,1,2,3,4,5,6,7,8,9
health,0.09,0.025,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0
prevent,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
federal,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccines,0.032,0.0,0.0,0.023,0.0,0.0,0.0,0.038,0.0,0.0
options,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fails,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experts,0.02,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0
illness,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
death,0.014,0.0,0.010,0.0,0.0,0.0,0.014,0.0,0.0,0.0
severe,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0
pe,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
warns,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
across,0.0,0.018,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0
healthcare,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treatment,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0
pu,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
children,0.0,0.0,0.081,0.050,0.0,0.0,0.0,0.0,0.0,0.0
rates,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.137,0.0,0.033
young,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net,0.0,0.0,0.049,0.016,0.0,0.0,0.0,0.0,0.0,0.0
people,0.0,0.0,0.019,0.007,0.0,0.0,0.0,0.0,0.0,0.028
higher,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shows,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
show,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0
preventing,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0
hospi,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0
put,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
vaccine,0.0,0.0,0.0,0.009,0.0,0.039,0.025,0.0,0.0,0.0
pregnant,0.0,0.0,0.0,0.007,0.029,0.0,0.0,0.0,0.0,0.0
related,0.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0
spreading,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0
early,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0
year,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.054,0.0
research,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0
hoax,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0
social,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
media,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
texas,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
however,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0
update,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0
join,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0
patients,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0
regi,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0
retweet,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0
partner,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0
well,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0
agencies,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0
help,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.029,0.0,0.0
negative,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0
students,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0
threatening,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0
los,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0
virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.038,0.013
working,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0
studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0
newly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.041,0.0
