,0,1,2,3,4,5,6,7,8,9
health,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iran,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rules,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receiving,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deaths,0.017,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0
coronavirus,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0
mandate,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.0,0.0
tells,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ending,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weeks,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ages,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moon,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ventilator,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longcovid,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
definition,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
published,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reports,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virus,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
living,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minister,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strategy,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zealand,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toward,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prime,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ht,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccine,0.0,0.0,0.0,0.034,0.080,0.0,0.0,0.029,0.0,0.058
data,0.0,0.0,0.0,0.028,0.018,0.0,0.0,0.0,0.0,0.0
cases,0.0,0.0,0.0,0.025,0.0,0.0,0.014,0.0,0.024,0.0
children,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.021,0.0
nationwide,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0
population,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0
publish,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0
account,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0
pm,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0
johnson,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
million,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.0
people,0.0,0.0,0.0,0.0,0.077,0.0,0.012,0.0,0.0,0.031
least,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.054
fully,0.0,0.0,0.0,0.0,0.025,0.016,0.024,0.0,0.0,0.038
post,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0
school,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0
research,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0
report,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0
received,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0
dr,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0
mask,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0
contact,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0
biden,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0
fauci,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
question,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
medical,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0
evidence,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0
dose,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
booster,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0
update,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0
weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0
testing,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0
read,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0
days,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0
vaccinated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0
september,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0
officially,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0
american,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0
outbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0
declared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0
deadliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0
year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0
old,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0
justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0
end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
among,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
needs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0
