,0,1,2,3,4,5,6,7,8,9
zero,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holiday,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
health,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccinated,0.023,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0
worth,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
either,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
possible,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
believe,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shooting,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
people,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pregnant,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
show,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hit,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
update,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guidance,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
join,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treatment,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urge,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
technical,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
booster,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
related,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moves,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdc,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
led,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webinar,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raise,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awareness,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pand,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aspect,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currently,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0
icu,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
provide,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.068
six,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0
person,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0
vaccine,0.0,0.0,0.0,0.017,0.0,0.036,0.015,0.0,0.038,0.018
community,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
doses,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
virus,0.0,0.0,0.0,0.006,0.0,0.019,0.0,0.0,0.0,0.0
news,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0
false,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0
di,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0
concerns,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0
nearly,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0
perfectly,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0
kits,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
abc,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
strongly,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0
vaccines,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0
months,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0
risk,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0
went,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0
infections,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
least,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
tens,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0
reducing,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0
remains,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0
latest,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0
work,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0
marc,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0
pilcher,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0
bridgerton,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0
emmy,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0
pfizer,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.034
effective,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.031
father,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0
hospitalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.0,0.0
patients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.0,0.019
family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0
