,0,1,2,3,4,5,6,7,8,9
state,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biden,0.007,0.004,0.004,0.0,0.005,0.004,0.006,0.0,0.0,0.0
new,0.006,0.0,0.007,0.0,0.004,0.005,0.006,0.005,0.004,0.0
covid,0.006,0.008,0.010,0.013,0.013,0.006,0.004,0.009,0.014,0.004
american,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
says,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
us,0.004,0.008,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
anti,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
like,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infowars,0.004,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
people,0.0,0.007,0.004,0.0,0.005,0.003,0.005,0.013,0.006,0.015
get,0.0,0.007,0.0,0.006,0.0,0.004,0.0,0.0,0.0,0.0
vaccinated,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
death,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
year,0.0,0.004,0.0,0.0,0.003,0.005,0.0,0.0,0.007,0.007
amp,0.0,0.003,0.005,0.004,0.007,0.0,0.0,0.0,0.007,0.006
california,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
government,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emergency,0.0,0.0,0.004,0.0,0.003,0.0,0.0,0.0,0.0,0.0
risk,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.005,0.004
vaccine,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
police,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.006
health,0.0,0.0,0.0,0.004,0.0,0.0,0.005,0.0,0.0,0.0
two,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
hospital,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
public,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
lead,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
say,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
deaths,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
former,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0
trump,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
tells,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
day,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
may,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
know,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
countries,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
one,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005,0.0,0.0
ago,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
federal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
taliban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
women,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
killed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0
last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
world,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
also,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0
three,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
years,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
