,0,1,2,3,4,5,6,7,8,9
covid,0.016,0.032,0.008,0.020,0.016,0.007,0.026,0.008,0.032,0.021
amp,0.014,0.0,0.0,0.006,0.012,0.004,0.0,0.005,0.0,0.005
people,0.009,0.0,0.006,0.0,0.007,0.0,0.005,0.005,0.010,0.0
us,0.007,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
countries,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccine,0.005,0.0,0.005,0.006,0.0,0.0,0.006,0.0,0.010,0.007
live,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
tucker,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0
new,0.0,0.028,0.008,0.007,0.007,0.018,0.011,0.0,0.009,0.011
national,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasts,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
predict,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reported,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
likely,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cases,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
week,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infowars,0.0,0.008,0.0,0.006,0.0,0.010,0.007,0.008,0.0,0.0
health,0.0,0.0,0.005,0.010,0.0,0.0,0.0,0.0,0.0,0.0
afghanistan,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world,0.0,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0
oil,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
including,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
briefing,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccines,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
school,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
biden,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.004,0.0,0.004
dum,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
data,0.0,0.0,0.0,0.0,0.006,0.0,0.008,0.0,0.007,0.0
year,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
nearly,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
latest,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.005
old,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
report,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
two,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
says,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
de,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
cdc,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.009,0.0
tracker,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
get,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.015,0.0
among,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
president,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0
country,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
across,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
pandemic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
every,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0
government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
