,0,1,2,3,4,5,6,7,8,9
cdc,0.01,0.0,0.004,0.0,0.0,0.0,0.006,0.0,0.0,0.0
amp,0.008,0.008,0.004,0.0,0.007,0.017,0.0,0.016,0.008,0.011
care,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
get,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
help,0.006,0.0,0.0,0.004,0.005,0.006,0.0,0.0,0.009,0.005
new,0.006,0.0,0.006,0.008,0.006,0.009,0.011,0.0,0.005,0.0
covid,0.005,0.013,0.023,0.010,0.013,0.014,0.018,0.004,0.016,0.028
health,0.005,0.0,0.005,0.0,0.007,0.016,0.005,0.004,0.0,0.007
safe,0.005,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.005,0.0
like,0.004,0.0,0.004,0.004,0.0,0.004,0.0,0.004,0.0,0.0
day,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
today,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one,0.0,0.005,0.004,0.0,0.0,0.0,0.0,0.004,0.0,0.0
year,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccinated,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
court,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high,0.0,0.004,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
vaccine,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.006,0.012
pandemic,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
united,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infowars,0.0,0.0,0.0,0.006,0.003,0.004,0.0,0.0,0.0,0.0
says,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
president,0.0,0.0,0.0,0.004,0.0,0.0,0.003,0.0,0.0,0.0
know,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
getting,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.007
people,0.0,0.0,0.0,0.0,0.006,0.008,0.0,0.004,0.0,0.010
support,0.0,0.0,0.0,0.0,0.006,0.004,0.0,0.0,0.0,0.0
us,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
family,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
biden,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
former,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
keep,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
vaccines,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.007,0.005
thank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
important,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0
time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0
effective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
protect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0
vaccination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
